Confirmed,Death,Recover
270,6,25
375,9,26
444,17,28
549,24,31
729,39,32
1052,52,42
1423,76,44
2714,100,47
3554,125,80
4586,162,90
5806,204,116
7153,249,166
9074,294,215
11177,350,295
13522,414,396
16678,479,520
