,0,1
0,not,0.021936962798250113
1,microwav,0.020354347833310377
2,use,0.017165938857571967
3,one,0.016283956229969244
4,great,0.016092322111849237
5,work,0.015676366300228232
6,good,0.013932111554489588
7,look,0.013693165152197805
8,would,0.013478090673075467
9,small,0.012781682975192879
10,fit,0.01277238293050414
11,unit,0.012708052841202192
12,door,0.012673895107413983
13,well,0.012145712937649654
14,perfect,0.012016016616949156
15,like,0.01200815973621233
16,instal,0.011971420453072054
17,space,0.011890363573919168
18,product,0.011799968896226915
19,time,0.011788682269761498
20,br,0.011746854253091793
21,cook,0.011430639816189
22,button,0.011392139342914645
23,need,0.011118221576651184
24,star,0.011089021168898778
25,replac,0.010875012399253627
26,size,0.010568693831991813
27,easi,0.01049554397921631
28,new,0.010432926421146002
29,love,0.010399944316458166
30,get,0.010325220009119387
31,purchas,0.01023403247190318
32,littl,0.010137488736226307
33,paint,0.010109595306434275
34,oven,0.010044641680991829
35,kitchen,0.00998596193798831
36,open,0.009985512641171052
37,nice,0.009942463643874772
38,heat,0.009712553110277541
39,price,0.009647368190074335
40,old,0.009368550461628994
41,counter,0.008783689120187921
42,power,0.008768565084395613
43,five,0.00875397198249616
44,year,0.008649587278879638
45,month,0.008440374069599646
46,plate,0.00838126967356988
47,thing,0.008298436954518715
48,model,0.008290204033105701
49,62,0.008190899894374113
50,ge,0.00815156482547503
51,back,0.00800284022328827
52,want,0.007969052197071617
53,buy,0.007931249478655056
54,sharp,0.007853388012135426
55,realli,0.007735403257534635
56,item,0.007726988032210447
57,bought,0.00771544940713865
58,much,0.0076148513666484275
59,amazon,0.007562708608787681
60,take,0.00754955419676897
61,fine,0.0074669493455440765
62,also,0.007307864061486966
63,cabinet,0.007272000103320887
64,seem,0.007259361444324461
65,review,0.007204397076069746
66,make,0.0071886788146172526
67,problem,0.007131243763326181
68,happi,0.007080822401548097
69,far,0.006972771679696711
70,featur,0.006941108911777423
71,second,0.006941108911777423
72,could,0.00687948832796705
73,2,0.006813043211196308
74,recommend,0.006746287019616381
