Confirmed,Death,Recover
41,2,12
45,2,15
62,2,19
121,3,24
198,3,25
258,6,25
363,9,28
425,17,28
495,23,31
572,38,32
618,45,40
698,63,42
1590,85,42
1905,104,42
2261,129,49
2639,159,70
3215,192,106
4109,224,138
5142,265,191
6384,313,270
8351,362,335
