Date,Flow_rate
0,0.025752989200849657
1,0.025783029724656716
2,0.024162358718928845
3,0.022559475306667128
4,0.014763152964952318
5,0.013837889913071876
6,0.022185975845640474
7,0.019777231885826124
8,0.024581313903303918
9,0.014606670635397133
10,0.01695205662191619
11,0.017026228565711114
12,0.026828002662780633
13,0.017576047689328488
14,0.024903708553718117
15,0.026647546426668365
16,0.01774529643223338
17,0.01525363960618075
18,0.02667848983857374
19,0.02685102870511505
20,0.023979457270521077
21,0.02411325136467745
22,0.01953714136973681
23,0.024229670094598293
24,0.01491394691616599
25,0.02183623239471245
26,0.02638489691292566
27,0.02363729563113077
28,0.016204907433112776
29,0.023244449430047123
30,0.01660203842965365
31,0.015008260454067212
32,0.01967153016922666
33,0.021457657547947772
34,0.016121719581685356
35,0.021380336768043712
36,0.019953416876949657
37,0.017325664669496886
38,0.022201900384829148
39,0.02378513974546417
40,0.026583983125105848
41,0.016744400981591835
42,0.019385494359651534
43,0.01593333543881212
44,0.020521417291347658
45,0.02256720293702494
46,0.022109108978340716
47,0.022254436639353795
48,0.015981856150607907
49,0.024584976081012816
50,0.023860964447358433
51,0.021544384722933043
52,0.016377129555750963
53,0.013668005388231956
54,0.023984748416505743
55,0.018819874467700743
56,0.016494443601891066
57,0.025643940236952895
58,0.01419598336796479
59,0.022477505521388524
60,0.014260550302704093
61,0.02257460357144313
62,0.014646529688129522
63,0.01605983186236838
64,0.02002900853526352
65,0.02156604580255995
66,0.015983622189546423
67,0.019778810268603862
68,0.025887067352094513
69,0.015905181658374613
70,0.01637174722496592
71,0.01810259902606064
72,0.016589143078102823
73,0.01416511280435502
74,0.016505746515687012
75,0.024001435340221925
76,0.02222187695389073
77,0.02504517424396617
78,0.02259434820852345
79,0.013913263385267069
80,0.015479460657993218
81,0.014261498408840037
82,0.023384577559444984
83,0.02478374609890799
84,0.02151412810281174
85,0.02404062065022541
86,0.016467660150837036
87,0.02560887959115331
88,0.022591319231036022
89,0.023589886819679894
90,0.01882973572137668
91,0.01504983345630742
92,0.02029790890414521
93,0.023422020463186408
94,0.016322388083777672
95,0.019369331438536808
96,0.01807927043798396
97,0.025165217161243016
98,0.019850884958596566
99,0.01493988608802948
100,0.015613210065170165
101,0.025842834575719918
102,0.021099129578846243
103,0.01911669053241261
104,0.013910023966930928
105,0.01582768696617177
106,0.02225443649449002
107,0.023545812662017863
108,0.01880865769777135
109,0.02283683708277586
110,0.0200340197962761
111,0.019940864178052808
112,0.015437304010005556
113,0.017824890873442373
114,0.01397864644970761
115,0.02024267943346126
116,0.016521172295105815
117,0.024818087385992473
118,0.014354162073503169
119,0.02293728813760163
