,0,1
0,dryer,0.04173104287550881
1,hair,0.04096425069907794
2,not,0.02872228008133338
3,use,0.01734628868771721
4,great,0.01612552502374767
5,one,0.014870427381728982
6,dri,0.013539032010712201
7,work,0.012863797109079048
8,love,0.011707886514757888
9,good,0.009575364989261094
10,like,0.00938080578031595
11,product,0.008419454394939935
12,would,0.007976927566750976
13,star,0.007866295859703736
14,blow,0.007580179375960875
15,power,0.006962167771076294
16,get,0.0066188279905848605
17,time,0.006492936737738001
18,set,0.006084743887598186
19,well,0.005615512854259893
20,year,0.005352285689216461
21,cord,0.0053065070518176025
22,price,0.005188245571870554
23,five,0.005012760795174932
24,realli,0.0049555374984263595
25,heat,0.004944092839076645
26,bought,0.004638901923084259
27,hairdryer,0.004436712941239304
28,purchas,0.004303191915492635
29,much,0.0042917472561429205
30,look,0.0041963750948953
31,hot,0.004162041116846157
32,littl,0.004074298728498346
33,long,0.0040361498639992985
34,nice,0.003948407475651487
35,high,0.0039140734976023436
36,last,0.003906443724702534
37,buy,0.003872109746653391
38,recommend,0.0038644799737535813
39,travel,0.0036050676951600536
40,br,0.0035859932629105293
41,best,0.003471546669413385
42,also,0.0034639168965135752
43,need,0.0034448424642640513
44,make,0.0034448424642640513
45,light,0.0034143233726648126
46,easi,0.0033990638268651934
47,air,0.003360914962366145
48,quick,0.0031701706398709045
49,month,0.00304809427347395
50,old,0.003044279387024045
51,want,0.0029031285883775668
52,perfect,0.002899313701927662
53,take,0.002880239269678138
54,fast,0.002716199152332231
55,first,0.002670420514933373
56,still,0.0026322716504343247
57,small,0.002613197218184801
58,conair,0.0025788632401356573
59,retract,0.002563603694336038
60,review,0.002536899489186704
61,better,0.002521639943387085
62,replac,0.0024300826685893693
63,even,0.0023919338040903214
64,button,0.002372859371840797
65,speed,0.0023080063021924152
66,lot,0.0022851169834929865
67,heavi,0.002269857437693367
68,attach,0.002269857437693367
69,job,0.0022622276647935573
70,could,0.002246968118993938
71,two,0.0022431532325440334
72,ever,0.0022278936867444143
73,thick,0.002224078800294509
74,happi,0.0022202639138446043
75,seem,0.002205004368044985
76,fine,0.0022011894815950803
77,go,0.0021821150493455564
78,got,0.0021706703899958416
79,day,0.002163040617096032
80,low,0.0021592257306461272
81,tri,0.0021363364119466985
82,enough,0.002128706639046889
83,thing,0.002117261979697174
84,quiet,0.0021058173203474598
85,way,0.0020943726609977454
86,back,0.0020905577745478406
87,wall,0.002082928001648031
88,feel,0.0020638535693985067
89,handl,0.0020333344777992684
90,cool,0.002021889818449554
91,size,0.0020180749319996492
92,differ,0.0019303325436518383
93,expect,0.0019188878843021237
94,qualiti,0.001915072997852219
